"TILE_NAME","total.area","cover"
"HP50",8163.79790498689,8.16379790498689e-05
"HP60",18122.0550440067,0.000181220550440067
"HU15",7847.98788651283,7.84798788651283e-05
"HU24",39340.5411541714,0.000393405411541714
"HU25",23075.5415432983,0.000230755415432983
"HU27",5708.29122901056,5.70829122901056e-05
"HU34",28599.6183259844,0.000285996183259844
"HU35",89279.4701505027,0.000892794701505027
"HU36",57511.4382050136,0.000575114382050136
"HU37",36009.2530245096,0.000360092530245096
"HU38",35763.4273645172,0.000357634273645172
"HU43",29005.9997446599,0.000290059997446599
"HU44",25040.9166033,0.000250409166033
"HU45",53831.5941204884,0.000538315941204884
"HU46",33472.5913370287,0.000334725913370287
"HU56",5216.23916499875,5.21623916499875e-05
"HY20",270067.683765065,0.00270067683765065
"HY21",26349.8061064996,0.000263498061064996
"HY22",20390.2582581936,0.000203902582581936
"HY30",117272.114765987,0.00117272114765987
"HY31",309380.541125511,0.00309380541125511
"HY32",62866.2484376347,0.000628662484376347
"HY40",58459.1804895515,0.000584591804895515
"HY41",316838.009687992,0.00316838009687992
"HY42",59648.7010274999,0.000596487010274999
"HY43",20240.8118696886,0.000202408118696886
"HY44",17125.3044404984,0.000171253044404984
"HY50",61563.6572800003,0.000615636572800003
"HY53",60565.2167695687,0.000605652167695687
"HY54",9448.20688649919,9.44820688649919e-05
"HY62",7537.46331001166,7.53746331001166e-05
"HY64",9452.21354000739,9.45221354000739e-05
"NA91",839.037969702389,8.39037969702389e-06
"NA92",7223.9646500318,7.2239646500318e-05
"NB00",24054.1120916837,0.000240541120916837
"NB01",4368.55094582593,4.36855094582593e-05
"NB03",289063.508401555,0.00289063508401555
"NB10",269595.720884837,0.00269595720884837
"NB11",1753339.51058264,0.0175333951058264
"NB12",50157.0127284824,0.000501570127284824
"NB13",160503.283871505,0.00160503283871505
"NB21",3725553.52993762,0.0372555352993762
"NB22",756489.042893835,0.00756489042893835
"NB23",1921958.81983347,0.0192195881983347
"NB24",7586.19574253543,7.58619574253543e-05
"NB31",646418.967158682,0.00646418967158682
"NB32",2613541.60615514,0.0261354160615514
"NB33",3595792.57670198,0.0359579257670198
"NB34",271895.488331929,0.00271895488331929
"NB35",31816.2817189973,0.000318162817189973
"NB41",38605.1384718438,0.000386051384718438
"NB42",70975.0783423092,0.000709750783423092
"NB43",5492617.5707191,0.054926175707191
"NB44",1455011.2523373,0.014550112523373
"NB45",294553.460058418,0.00294553460058418
"NB46",6592.73030008934,6.59273030008934e-05
"NB53",34710.2860323704,0.000347102860323704
"NB54",395361.827359518,0.00395361827359518
"NB90",1203852.17401766,0.0120385217401766
"NB91",68241.4965141703,0.000682414965141703
"NC00",761330.08762325,0.0076133008762325
"NC01",4570404.47787368,0.0457040447787368
"NC02",9337947.88155476,0.0933794788155476
"NC03",1450362.75688749,0.0145036275688749
"NC10",12572585.5390567,0.125725855390567
"NC11",1835451.84486472,0.0183545184486472
"NC12",9702145.55201035,0.0970214555201035
"NC13",6373924.24279143,0.0637392424279143
"NC14",3692891.54706235,0.0369289154706235
"NC20",7009112.66738808,0.0700911266738808
"NC21",4740995.51088453,0.0474099551088453
"NC22",1003849.75051054,0.0100384975051054
"NC23",3779034.63310852,0.0377903463310852
"NC24",2359683.1881953,0.023596831881953
"NC25",143493.986453447,0.00143493986453447
"NC30",39513296.43109,0.3951329643109
"NC31",9118769.05043294,0.0911876905043294
"NC32",4031746.99454026,0.0403174699454025
"NC33",4306902.66119298,0.0430690266119298
"NC34",582761.65314845,0.0058276165314845
"NC35",1531628.04428473,0.0153162804428473
"NC36",87572.5589610934,0.000875725589610934
"NC40",33193289.6400224,0.331932896400224
"NC41",6469478.17342606,0.0646947817342606
"NC42",20552722.8260375,0.205527228260375
"NC44",2439235.53260084,0.0243923553260084
"NC45",9870137.29119948,0.0987013729119948
"NC46",1605881.63384171,0.0160588163384171
"NC50",34421797.0871878,0.344217970871878
"NC51",42117746.3258328,0.421177463258328
"NC52",19262117.4409223,0.192621174409223
"NC53",6401967.97736328,0.0640196797736328
"NC54",5377023.03120984,0.0537702303120984
"NC55",5656906.49174342,0.0565690649174342
"NC56",917545.537108154,0.00917545537108154
"NC60",13018049.7929824,0.130180497929824
"NC61",18820503.0064664,0.188205030064664
"NC62",1358847.37346808,0.0135884737346808
"NC63",15391045.3743559,0.153910453743559
"NC64",7886335.36039454,0.0788633536039454
"NC65",17887260.9490875,0.178872609490875
"NC66",1526392.15452433,0.0152639215452433
"NC70",14769477.503709,0.14769477503709
"NC71",25005930.9063371,0.250059309063371
"NC72",170583.750186827,0.00170583750186827
"NC73",17809640.5731309,0.178096405731309
"NC74",5912336.27846784,0.0591233627846784
"NC75",9440631.97736317,0.0944063197736317
"NC76",581708.924705139,0.00581708924705139
"NC80",22735782.3256456,0.227357823256456
"NC81",5123115.50588818,0.0512311550588818
"NC82",8761093.06720944,0.0876109306720944
"NC83",4761889.84754181,0.0476188984754181
"NC84",24614071.8219053,0.246140718219053
"NC85",18131025.1135704,0.181310251135704
"NC86",7508857.02549671,0.0750885702549672
"NC90",776772.212221194,0.00776772212221194
"NC91",8963609.93646398,0.0896360993646398
"NC92",1971579.84521199,0.0197157984521199
"NC93",1605741.87806171,0.0160574187806171
"NC94",25499397.7039834,0.254993977039835
"NC95",6579783.45622002,0.0657978345622002
"NC96",15936280.5466959,0.159362805466959
"ND01",2223464.85319759,0.0222346485319759
"ND02",3101154.26631177,0.0310115426631177
"ND03",645785.910419451,0.00645785910419451
"ND04",24265631.7687491,0.242656317687491
"ND05",17615157.6794784,0.176151576794784
"ND06",11697186.4448483,0.116971864448483
"ND07",76235.6590566309,0.000762356590566309
"ND12",2385855.43476421,0.0238585543476421
"ND13",3639012.6613758,0.036390126613758
"ND14",4142295.02877554,0.0414229502877554
"ND15",22254143.3454314,0.222541433454314
"ND16",1941740.27823868,0.0194174027823868
"ND23",8697139.61155187,0.0869713961155187
"ND24",33327493.0673605,0.333274930673605
"ND25",8255490.52444483,0.0825549052444483
"ND26",7321772.18113969,0.0732177218113969
"ND27",4455805.71820007,0.0445580571820007
"ND28",31656.5429542871,0.000316565429542871
"ND29",403846.446620664,0.00403846446620664
"ND34",4544791.46933606,0.0454479146933606
"ND35",2044070.44539998,0.0204407044539998
"ND36",14687540.0507089,0.146875400507089
"ND37",2389091.59116834,0.0238909159116834
"ND39",75241.7792870399,0.000752417792870399
"ND48",56115.1719510887,0.000561151719510887
"ND49",100980.74514775,0.0010098074514775
"NF60",25112.1894020603,0.000251121894020603
"NF70",30237.0591232136,0.000302370591232136
"NF71",10270.2244656094,0.000102702244656094
"NF72",353302.467144527,0.00353302467144527
"NF73",5253.26473445212,5.25326473445212e-05
"NF75",126279.378345787,0.00126279378345787
"NF76",48724.4353385398,0.000487244353385398
"NF77",4544428.94334805,0.0454442894334805
"NF82",1587827.93235119,0.0158782793235119
"NF85",274778.67327359,0.0027477867327359
"NF86",877417.606291404,0.00877417606291404
"NF87",531354.333113623,0.00531354333113623
"NF96",58502.1442928821,0.000585021442928821
"NF97",22424.5712553637,0.000224245712553637
"NF98",188138.543733483,0.00188138543733483
"NG08",146102.028109545,0.00146102028109546
"NG09",400725.824028429,0.00400725824028429
"NG14",1465703.62147008,0.0146570362147008
"NG15",178399.159746203,0.00178399159746203
"NG18",44411.6838075053,0.000444116838075053
"NG19",542916.332291232,0.00542916332291232
"NG20",73395.733679589,0.00073395733679589
"NG23",1799391.14619719,0.0179939114619719
"NG24",5749765.23786598,0.0574976523786598
"NG25",11387149.566831,0.11387149566831
"NG26",139525.842714024,0.00139525842714024
"NG29",16658.0896310354,0.000166580896310354
"NG30",551113.724128107,0.00551113724128107
"NG32",7760703.96539622,0.0776070396539622
"NG33",4176135.43001068,0.0417613543001068
"NG34",19408076.4477859,0.194080764477859
"NG35",12763866.0079051,0.127638660079051
"NG36",400625.958122017,0.00400625958122017
"NG37",15600.7924395166,0.000156007924395166
"NG40",881188.289381357,0.00881188289381358
"NG41",389852.988486694,0.00389852988486694
"NG42",8278351.95517895,0.0827835195517895
"NG43",17835312.323714,0.17835312323714
"NG44",16945312.1317529,0.169453121317529
"NG45",4882344.09637161,0.0488234409637161
"NG46",797009.242658852,0.00797009242658852
"NG47",280933.809079983,0.00280933809079983
"NG50",2159763.18475791,0.0215976318475791
"NG51",4334366.0547149,0.043343660547149
"NG52",3163669.30141995,0.0316366930141995
"NG53",7287225.01233968,0.0728722501233968
"NG54",3319288.89541614,0.0331928889541614
"NG55",6882024.02349674,0.0688202402349674
"NG56",372170.992253978,0.00372170992253978
"NG60",10503580.9668174,0.105035809668174
"NG61",14691632.847534,0.14691632847534
"NG62",8763394.73886137,0.0876339473886137
"NG63",16245.4593818002,0.000162454593818002
"NG64",48647.9263308129,0.000486479263308129
"NG65",4745725.26477928,0.0474572526477928
"NG66",314535.905132677,0.00314535905132677
"NG70",11272721.7489889,0.112727217489889
"NG71",36424344.0578154,0.364243440578154
"NG72",40292750.2648053,0.402927502648053
"NG73",4678817.42569107,0.0467881742569107
"NG74",3914808.64284611,0.0391480864284611
"NG75",10519908.7006593,0.105199087006593
"NG76",728243.737128678,0.00728243737128678
"NG77",5232730.1561749,0.052327301561749
"NG78",568123.509821086,0.00568123509821086
"NG79",53264.00466164,0.0005326400466164
"NG80",9325958.09031525,0.0932595809031525
"NG81",13855610.6760081,0.138556106760081
